,account_value,date,daily_return,datadate
0,1000000.0,2022-01-03,,2022-01-03
1,999664.4216171264,2022-01-04,-0.0003355783828735,2022-01-04
2,988475.4970813752,2022-01-05,-0.0111926805573926,2022-01-05
3,980933.0837815858,2022-01-06,-0.0076303492823641,2022-01-06
4,977862.2592163926,2022-01-07,-0.0031305138097237,2022-01-07
5,975815.5699044114,2022-01-10,-0.0020930241377975,2022-01-10
6,983031.934852684,2022-01-11,0.0073952139839084,2022-01-11
7,986738.7900925524,2022-01-12,0.0037708390830901,2022-01-12
8,977037.8103676684,2022-01-13,-0.0098313553924176,2022-01-13
9,972171.5709191208,2022-01-14,-0.0049806050460996,2022-01-14
10,958785.8939934616,2022-01-18,-0.0137688421736134,2022-01-18
11,949786.959892357,2022-01-19,-0.0093857598004734,2022-01-19
12,939269.2838173752,2022-01-20,-0.0110737212860594,2022-01-20
13,929450.1421395187,2022-01-21,-0.0104540219157912,2022-01-21
14,934002.3743515856,2022-01-24,0.0048977691278715,2022-01-24
15,931853.3413048632,2022-01-25,-0.0023008860638221,2022-01-25
16,928394.582611168,2022-01-26,-0.003711698547812,2022-01-26
17,928466.9454308396,2022-01-27,7.794403481775625e-05,2022-01-27
18,944090.1110993272,2022-01-28,0.0168268410042726,2022-01-28
19,943146.042619732,2022-01-31,-0.0009999770874581,2022-01-31
20,944161.732241848,2022-02-01,0.001076916592148,2022-02-01
21,947990.4015896112,2022-02-02,0.0040550990545573,2022-02-02
22,933535.8775077936,2022-02-03,-0.0152475426518875,2022-02-03
23,933630.7427855494,2022-02-04,0.0001016193164518,2022-02-04
24,934043.3837576868,2022-02-07,0.0004419744907995,2022-02-07
25,947675.06283865,2022-02-08,0.0145942675875743,2022-02-08
26,955826.4417716028,2022-02-09,0.0086014492230452,2022-02-09
27,939191.8550711634,2022-02-10,-0.0174033548073933,2022-02-10
28,923935.9844923976,2022-02-11,-0.0162436146527377,2022-02-11
29,919123.6884528162,2022-02-14,-0.0052084734444293,2022-02-14
30,932311.8510199548,2022-02-15,0.0143486265589984,2022-02-15
31,930339.5770941736,2022-02-16,-0.002115465896549,2022-02-16
32,913003.4669905663,2022-02-17,-0.0186341745857516,2022-02-17
33,906872.2484961512,2022-02-18,-0.0067154383483613,2022-02-18
34,889138.2644415858,2022-02-22,-0.0195551072204197,2022-02-22
35,876975.7503195765,2022-02-23,-0.0136789907806383,2022-02-23
36,883512.4838782313,2022-02-24,0.0074537221311681,2022-02-24
37,906489.98490057,2022-02-25,0.0260069907801163,2022-02-25
38,906006.6518813136,2022-02-28,-0.0005331917917544,2022-02-28
39,892919.6260787012,2022-03-01,-0.0144447347880252,2022-03-01
40,908517.4314337733,2022-03-02,0.0174683195435747,2022-03-02
41,903405.6918745995,2022-03-03,-0.0056264628308854,2022-03-03
42,898333.6465445521,2022-03-04,-0.0056143606086019,2022-03-04
43,876454.7480879786,2022-03-07,-0.0243549805139001,2022-03-07
44,869607.9025641443,2022-03-08,-0.0078119783580052,2022-03-08
45,888897.4493056299,2022-03-09,0.022181889889234,2022-03-09
46,885795.7896834376,2022-03-10,-0.0034893334710491,2022-03-10
47,877806.6973334315,2022-03-11,-0.0090191130315274,2022-03-11
48,876246.7012244227,2022-03-14,-0.0017771522064569,2022-03-14
49,892286.6329298975,2022-03-15,0.0183052691474461,2022-03-15
50,907294.2005797388,2022-03-16,0.0168192227654051,2022-03-16
51,919916.0942717554,2022-03-17,0.0139115776161156,2022-03-17
52,929053.3079901696,2022-03-18,0.0099326599189981,2022-03-18
53,922287.413569546,2022-03-21,-0.00728256857,2022-03-21
54,930204.9516135218,2022-03-22,0.0085846753706986,2022-03-22
55,917119.7417365076,2022-03-23,-0.0140670180849035,2022-03-23
56,928155.8030081752,2022-03-24,0.0120333919001365,2022-03-24
57,929849.0810729028,2022-03-25,0.0018243467952685,2022-03-25
58,933886.1892806056,2022-03-28,0.0043416811285594,2022-03-28
59,943513.2829466822,2022-03-29,0.0103086369373259,2022-03-29
60,941588.8992300988,2022-03-30,-0.0020395936669521,2022-03-30
61,924799.7103644372,2022-03-31,-0.0178306996603183,2022-03-31
62,927150.5009871484,2022-04-01,0.0025419456736039,2022-04-01
63,932767.4511366846,2022-04-04,,2022-04-04
64,924177.5641119808,2022-04-05,-0.0092090338425039,2022-04-05
65,919606.9484660266,2022-04-06,-0.0049456033379753,2022-04-06
66,924558.462727917,2022-04-07,0.0053843810881919,2022-04-07
67,923570.645057255,2022-04-08,-0.0010684209928135,2022-04-08
68,909797.8102330592,2022-04-11,-0.0149125948273746,2022-04-11
69,908296.2984003414,2022-04-12,-0.0016503796951689,2022-04-12
70,920138.3636100658,2022-04-13,0.0130376675877466,2022-04-13
71,914085.8606043552,2022-04-14,-0.0065778183424112,2022-04-14
72,910975.0969052204,2022-04-18,-0.0034031416885478,2022-04-18
73,921804.6636236004,2022-04-19,0.0118878844824301,2022-04-19
74,923380.9326317027,2022-04-20,0.0017099815940462,2022-04-20
75,913171.678413632,2022-04-21,-0.0110563840526507,2022-04-21
76,890383.2260089535,2022-04-22,-0.0249552772423544,2022-04-22
77,895865.6036927646,2022-04-25,0.0061573236373571,2022-04-25
78,871203.3863019947,2022-04-26,-0.0275289254204114,2022-04-26
79,867621.0066543088,2022-04-27,-0.0041119900404567,2022-04-27
80,877803.5914653554,2022-04-28,0.0117362128544031,2022-04-28
81,854699.9507769588,2022-04-29,-0.0263198293023939,2022-04-29
82,853658.4459775928,2022-05-02,-0.0012185619039982,2022-05-02
83,854379.8298634189,2022-05-03,0.0008450497845189,2022-05-03
84,874521.2946049046,2022-05-04,0.0235743682580913,2022-05-04
85,847070.8117452282,2022-05-05,-0.031389153161877,2022-05-05
86,846662.8653886303,2022-05-06,-0.0004815965217328,2022-05-06
87,829683.2224380916,2022-05-09,-0.020054786438218,2022-05-09
88,830664.816251202,2022-05-10,0.001183094687905,2022-05-10
89,816631.021128098,2022-05-11,-0.0168946545568628,2022-05-11
90,812694.1649071889,2022-05-12,-0.0048208506890551,2022-05-12
91,822682.2938969044,2022-05-13,0.012290144830628,2022-05-13
92,825639.4296105504,2022-05-16,0.0035945051152597,2022-05-16
93,836570.1235044255,2022-05-17,0.0132390647804103,2022-05-17
94,835733.5648219076,2022-05-18,-0.000999986323936,2022-05-18
95,834003.7292438131,2022-05-19,-0.0020698409767269,2022-05-19
96,833899.8352513583,2022-05-20,-0.0001245725754115,2022-05-20
97,836812.6245308955,2022-05-23,0.0034929726046284,2022-05-23
98,836829.7784145777,2022-05-24,2.049907372247972e-05,2022-05-24
99,839485.5293472864,2022-05-25,0.0031735855979457,2022-05-25
100,848208.6163148539,2022-05-26,0.0103909914615798,2022-05-26
101,863353.270269108,2022-05-27,0.0178548692655964,2022-05-27
102,860890.4101904567,2022-05-31,-0.0028526678052469,2022-05-31
103,855076.4306332018,2022-06-01,-0.0067534490899585,2022-06-01
104,864720.108952042,2022-06-02,0.0112781477460426,2022-06-02
105,854527.085109875,2022-06-03,-0.0117876567650542,2022-06-03
106,853614.880051884,2022-06-06,-0.0010674969511044,2022-06-06
107,860557.2354048236,2022-06-07,0.008132889333557,2022-06-07
108,855088.8098730396,2022-06-08,-0.0063545169418179,2022-06-08
109,835204.8661591419,2022-06-09,-0.0232536591337805,2022-06-09
110,815704.7161205371,2022-06-10,-0.02334774476145,2022-06-10
111,792659.7877756275,2022-06-13,-0.0282515570763285,2022-06-13
112,793697.3240022968,2022-06-14,0.0013089300639066,2022-06-14
113,804548.0129974063,2022-06-15,0.0136710666232233,2022-06-15
114,788865.585014252,2022-06-16,-0.0194922213836912,2022-06-16
115,794467.9056484073,2022-06-17,0.0071017429845847,2022-06-17
116,809187.5533346103,2022-06-21,0.0185276807049739,2022-06-21
117,811730.4409730304,2022-06-22,0.0031425194665204,2022-06-22
118,820084.9434374165,2022-06-23,0.0102922128365314,2022-06-23
119,838938.650948006,2022-06-24,0.0229899447142187,2022-06-24
120,834556.2325306552,2022-06-27,-0.0052237650660135,2022-06-27
121,819581.4588407443,2022-06-28,-0.0179433968691388,2022-06-28
122,826068.6619463046,2022-06-29,0.0079152633769143,2022-06-29
123,818864.6070115818,2022-06-30,-0.0087208912122986,2022-06-30
124,829193.6453882526,2022-07-01,0.0126138537289652,2022-07-01
125,831062.456006287,2022-07-05,0.0022537686201868,2022-07-05
126,832562.6470577702,2022-07-06,,2022-07-06
127,841234.484103104,2022-07-07,0.0104158372657956,2022-07-07
128,839217.7619145588,2022-07-08,-0.0023973365650783,2022-07-08
129,833947.8449200062,2022-07-11,-0.006279558457545,2022-07-11
130,835103.659094933,2022-07-12,0.0013859549874339,2022-07-12
131,829312.1100930866,2022-07-13,-0.0069351258838011,2022-07-13
132,830542.2274890407,2022-07-14,0.0014832984843498,2022-07-14
133,841735.8978945927,2022-07-15,0.0134775451928477,2022-07-15
134,839656.8352922596,2022-07-18,-0.0024699702216971,2022-07-18
135,864015.4019443669,2022-07-19,0.0290101451310507,2022-07-19
136,870181.0407166142,2022-07-20,0.0071360287772328,2022-07-20
137,877016.4812378545,2022-07-21,0.0078551935762827,2022-07-21
138,867267.4842896123,2022-07-22,-0.0111160932055485,2022-07-22
139,866124.8267883916,2022-07-25,-0.0013175375785668,2022-07-25
140,856943.6025757451,2022-07-26,-0.0106003475811802,2022-07-26
141,872636.3118958134,2022-07-27,0.0183124178451186,2022-07-27
142,888320.0239395757,2022-07-28,0.0179727932816469,2022-07-28
143,903363.034292664,2022-07-29,0.016934224094572,2022-07-29
144,902459.6901405262,2022-08-01,-0.0009999790979328,2022-08-01
145,898627.0547820972,2022-08-02,-0.0042468770630986,2022-08-02
146,904427.7918617174,2022-08-03,0.0064551106588113,2022-08-03
147,900682.0827159351,2022-08-04,-0.0041415237119947,2022-08-04
148,902977.7102941592,2022-08-05,0.0025487656768987,2022-08-05
149,903283.349423798,2022-08-08,0.0003384791519815,2022-08-08
150,903464.8403295596,2022-08-09,0.000200923559454,2022-08-09
151,915056.602384003,2022-08-10,0.0128303410791448,2022-08-10
152,913791.8357290349,2022-08-11,-0.0013821731373482,2022-08-11
153,924541.8814519962,2022-08-12,0.0117642173005243,2022-08-12
154,928052.6255468448,2022-08-15,0.0037972796747023,2022-08-15
155,935433.6940359196,2022-08-16,0.0079532865765294,2022-08-16
156,931022.0366567692,2022-08-17,-0.0047161625749403,2022-08-17
157,931846.2975973208,2022-08-18,0.0008853291416297,2022-08-18
158,925679.5230459291,2022-08-19,-0.0066178022784358,2022-08-19
159,909940.66416684,2022-08-22,-0.0170024922095078,2022-08-22
160,904221.3374990544,2022-08-23,-0.0062853841937291,2022-08-23
161,906220.0870946964,2022-08-24,0.0022104649743948,2022-08-24
162,916124.2416128238,2022-08-25,0.0109290829668979,2022-08-25
163,888452.4032034,2022-08-26,-0.0302053336790957,2022-08-26
164,885139.2665075382,2022-08-29,-0.0037291099488458,2022-08-29
165,876366.7154821475,2022-08-30,-0.0099109274182402,2022-08-30
166,870845.8963522037,2022-08-31,-0.0062996677445771,2022-08-31
167,875752.9974798282,2022-09-01,0.0056348673722634,2022-09-01
168,866017.7730154117,2022-09-02,-0.0111164043884882,2022-09-02
169,861698.6494192203,2022-09-06,-0.0049873382865487,2022-09-06
170,873888.153165253,2022-09-07,0.0141459009530169,2022-09-07
171,879355.0787939151,2022-09-08,0.0062558642188486,2022-09-08
172,887028.2896551212,2022-09-09,0.0087259527422418,2022-09-09
173,892972.3896383365,2022-09-12,0.006701139132244,2022-09-12
174,858368.7963537296,2022-09-13,-0.0387510226364576,2022-09-13
175,857251.6426519473,2022-09-14,-0.0013014845210215,2022-09-14
176,854577.0492986758,2022-09-15,-0.0031199629376007,2022-09-15
177,851752.045163544,2022-09-16,-0.003305733681299,2022-09-16
178,855309.0210088809,2022-09-19,0.0041760696267585,2022-09-19
179,848705.291547211,2022-09-20,-0.0077208696499897,2022-09-20
180,836576.2802328189,2022-09-21,-0.0142911932271337,2022-09-21
181,833896.0902608951,2022-09-22,-0.0032037604164176,2022-09-22
182,820622.7690328677,2022-09-23,-0.0159172364315494,2022-09-23
183,810955.5475439151,2022-09-26,-0.0117803476259205,2022-09-26
184,806871.5926870425,2022-09-27,-0.0050359786911148,2022-09-27
185,823731.3106054385,2022-09-28,0.0208951685388374,2022-09-28
186,812048.6268743594,2022-09-29,-0.014182638902596,2022-09-29
187,801579.2897543033,2022-09-30,-0.0128925002439244,2022-09-30
188,822080.6677297672,2022-10-03,0.0255762321176584,2022-10-03
189,843401.4320272525,2022-10-04,,2022-10-04
190,842593.8926764377,2022-10-05,-0.0009574792265573,2022-10-05
191,830136.9556452411,2022-10-06,-0.0147840343248015,2022-10-06
192,812255.9091423344,2022-10-07,-0.0215398752956471,2022-10-07
193,809588.3124092411,2022-10-10,-0.0032841826117461,2022-10-10
194,813916.274292786,2022-10-11,0.0053458798962466,2022-10-11
195,813683.7307365726,2022-10-12,-0.0002857094317415,2022-10-12
196,837387.5895546268,2022-10-13,0.0291315383639252,2022-10-13
197,831091.5566490482,2022-10-14,-0.0075186603958714,2022-10-14
198,844590.4004600834,2022-10-17,0.0162423065221144,2022-10-17
199,851911.4503334354,2022-10-18,0.008668166094907,2022-10-18
200,849885.6542061161,2022-10-19,-0.0023779421282885,2022-10-19
201,848494.5437477421,2022-10-20,-0.0016368207316941,2022-10-20
202,868056.4438789677,2022-10-21,0.0230548331457995,2022-10-21
203,882457.9198387455,2022-10-24,0.0165904833278167,2022-10-24
204,885252.7643898319,2022-10-25,0.0031671136812927,2022-10-25
205,892282.0227821659,2022-10-26,0.0079403969974372,2022-10-26
206,898167.6209648441,2022-10-27,0.0065961187521481,2022-10-27
207,921146.2225960088,2022-10-28,0.0255838677489621,2022-10-28
208,921603.4221428226,2022-10-31,0.0004963376449891,2022-10-31
209,917114.2857368778,2022-11-01,-0.0048710066587069,2022-11-01
210,909397.6508949588,2022-11-02,-0.0084140384267581,2022-11-02
211,908834.7392738652,2022-11-03,-0.0006189939247586,2022-11-03
212,915511.5955589605,2022-11-04,0.0073466120919076,2022-11-04
213,926247.4844902348,2022-11-07,0.0117266553294932,2022-11-07
214,939647.5147102664,2022-11-08,0.0144670084879168,2022-11-08
215,926323.7080162356,2022-11-09,-0.0141795795608942,2022-11-09
216,943884.1475380252,2022-11-10,0.0189571306119282,2022-11-10
217,929584.1122139286,2022-11-11,-0.0151502018138519,2022-11-11
218,924077.661049683,2022-11-14,-0.005923564195962,2022-11-14
219,916416.236489136,2022-11-15,-0.0082908881834066,2022-11-15
220,921460.4355934452,2022-11-16,0.0055042664058788,2022-11-16
221,925795.4703453372,2022-11-17,0.0047045261895592,2022-11-17
222,936223.47144397,2022-11-18,0.0112638281701065,2022-11-18
223,930826.701233704,2022-11-21,-0.0057644038788543,2022-11-21
224,939167.952606995,2022-11-22,0.0089611217235556,2022-11-22
225,942019.6870125126,2022-11-23,0.0030364477382363,2022-11-23
226,949181.5868919682,2022-11-25,0.0076027072238464,2022-11-25
227,936319.9440697024,2022-11-28,-0.0135502447580975,2022-11-28
228,936129.6605614016,2022-11-29,-0.0002032248800273,2022-11-29
229,956524.724572022,2022-11-30,0.021786580288877,2022-11-30
230,947679.2111442876,2022-12-01,-0.0092475533569632,2022-12-01
231,947895.097969849,2022-12-02,0.0002278058049842,2022-12-02
232,939081.6419990849,2022-12-05,-0.0092979233563296,2022-12-05
233,936715.3492821048,2022-12-06,-0.0025197944578521,2022-12-06
234,938708.8486183475,2022-12-07,0.0021281804955695,2022-12-07
235,942174.46703418,2022-12-08,0.0036918991665344,2022-12-08
236,932889.8841102908,2022-12-09,-0.0098544200132227,2022-12-09
237,943563.4259727788,2022-12-12,0.0114413737830025,2022-12-12
238,939525.7383659672,2022-12-13,-0.0042791904557436,2022-12-13
239,934612.8596199343,2022-12-14,-0.0052291050105527,2022-12-14
240,913825.2321785282,2022-12-15,-0.0222419659941974,2022-12-15
241,906891.356827576,2022-12-16,-0.0075877477517468,2022-12-16
242,904933.5669487308,2022-12-19,-0.0021587920803367,2022-12-19
243,905268.6619118046,2022-12-20,0.0003702978597683,2022-12-20
244,917264.666909058,2022-12-21,0.0132513203007818,2022-12-21
245,910871.926232178,2022-12-22,-0.0069693523663368,2022-12-22
246,915518.7992027592,2022-12-23,0.0051015656940958,2022-12-23
247,915886.3847740482,2022-12-27,0.0004015052138843,2022-12-27
248,907674.6766289066,2022-12-28,-0.0089658589554941,2022-12-28
249,914426.5406196904,2022-12-29,0.0074386387156464,2022-12-29
250,912965.4173057864,2022-12-30,-0.0015978575085032,2022-12-30
251,908111.1175545048,2023-01-03,-0.0053170685978523,2023-01-03
