account_value,date,daily_return
1000000.0,2022-01-03,
999664.4216171264,2022-01-04,-0.0003355783828735692
988475.4970813752,2022-01-05,-0.011192680557392642
980933.0837815858,2022-01-06,-0.007630349282364168
977862.2592163926,2022-01-07,-0.003130513809723734
975815.5699044114,2022-01-10,-0.00209302413779755
983031.9348526841,2022-01-11,0.007395213983908411
986738.7900925523,2022-01-12,0.0037708390830901717
977037.8103676683,2022-01-13,-0.00983135539241764
972171.5709191209,2022-01-14,-0.004980605046099651
958785.8939934617,2022-01-18,-0.013768842173613405
949786.959892357,2022-01-19,-0.009385759800473403
939269.2838173753,2022-01-20,-0.011073721286059435
929450.1421395189,2022-01-21,-0.010454021915791256
934002.3743515855,2022-01-24,0.004897769127871543
931853.3413048631,2022-01-25,-0.0023008860638221718
928394.582611168,2022-01-26,-0.003711698547812059
928466.9454308397,2022-01-27,7.794403481775625e-05
944090.1110993272,2022-01-28,0.016826841004272675
943146.0426197321,2022-01-31,-0.000999977087458137
944161.7322418481,2022-02-01,0.0010769165921480361
947990.4015896113,2022-02-02,0.004055099054557365
933535.8775077937,2022-02-03,-0.015247542651887547
933630.7427855494,2022-02-04,0.00010161931645180644
934043.3837576868,2022-02-07,0.0004419744907995238
947675.06283865,2022-02-08,0.014594267587574317
955826.4417716028,2022-02-09,0.008601449223045288
939191.8550711634,2022-02-10,-0.0174033548073933
923935.9844923975,2022-02-11,-0.016243614652737715
919123.6884528162,2022-02-14,-0.005208473444429318
932311.8510199549,2022-02-15,0.01434862655899849
930339.5770941736,2022-02-16,-0.0021154658965490958
913003.4669905665,2022-02-17,-0.018634174585751673
906872.2484961512,2022-02-18,-0.006715438348361302
889138.2644415858,2022-02-22,-0.019555107220419754
876975.7503195765,2022-02-23,-0.01367899078063839
883512.4838782313,2022-02-24,0.007453722131168128
906489.9849005701,2022-02-25,0.026006990780116368
906006.6518813135,2022-02-28,-0.0005331917917544837
892919.6260787012,2022-03-01,-0.014444734788025215
908517.4314337733,2022-03-02,0.01746831954357475
903405.6918745997,2022-03-03,-0.005626462830885415
898333.6465445521,2022-03-04,-0.005614360608601987
876454.7480879786,2022-03-07,-0.02435498051390017
869607.9025641443,2022-03-08,-0.007811978358005289
888897.4493056299,2022-03-09,0.022181889889234085
885795.7896834376,2022-03-10,-0.003489333471049183
877806.6973334315,2022-03-11,-0.00901911303152747
876246.7012244227,2022-03-14,-0.0017771522064569112
892286.6329298975,2022-03-15,0.018305269147446124
907294.2005797388,2022-03-16,0.01681922276540515
919916.0942717554,2022-03-17,0.013911577616115611
929053.3079901697,2022-03-18,0.009932659918998166
922287.413569546,2022-03-21,-0.007282568570000092
930204.9516135218,2022-03-22,0.008584675370698625
917119.7417365076,2022-03-23,-0.014067018084903515
928155.8030081751,2022-03-24,0.012033391900136525
929849.0810729029,2022-03-25,0.00182434679526855
933886.1892806055,2022-03-28,0.0043416811285594825
943513.2829466822,2022-03-29,0.010308636937325977
941588.8992300989,2022-03-30,-0.0020395936669521664
924799.7103644373,2022-03-31,-0.01783069966031836
927150.5009871485,2022-04-01,0.002541945673603996
