date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-04-04,100,-58,-100,100,0,0,-100,-100,0,0,-56,0,0,0,-94,-45,0,0,0,-27,0,100,100,100,0,28,4,100,0
2022-04-05,100,100,-100,0,0,0,-64,0,0,0,0,0,0,-100,-100,-100,1,0,-9,14,-3,0,100,-15,0,0,-4,100,0
2022-04-06,-10,-86,-94,17,95,-100,98,-22,0,0,-100,0,100,-36,-100,-100,26,34,-69,-79,27,-39,39,-66,59,12,0,7,0
2022-04-07,100,95,-6,100,-3,0,100,-100,100,0,-100,0,-100,-100,-6,-51,100,0,-100,-100,31,24,100,100,63,-40,2,-30,0
2022-04-08,24,0,0,-42,0,91,0,100,-100,0,-44,0,0,0,0,-4,-100,100,0,1,0,100,-41,100,-95,0,0,100,0
2022-04-11,100,100,0,-100,-27,67,-100,1,0,0,0,0,100,-48,0,0,-24,0,-19,-3,0,100,-61,100,-100,0,100,-100,0
2022-04-12,87,-90,0,0,-14,-47,-50,100,54,0,0,98,-97,-10,0,0,0,-24,0,93,61,5,100,-34,-78,0,0,100,0
2022-04-13,-100,0,0,100,0,-55,-50,-100,93,40,0,-29,-3,-7,0,0,0,0,-70,85,-88,-71,94,100,-14,100,0,2,0
2022-04-14,-6,-42,0,20,-51,30,-100,-6,-10,76,0,100,0,0,0,0,-3,-5,-30,7,100,-100,4,2,-100,-39,100,-100,0
2022-04-18,40,-9,0,100,0,-84,-34,-4,0,-28,0,-100,0,1,0,0,0,-81,-3,-100,100,41,100,80,38,-14,-100,91,0
2022-04-19,-58,0,0,48,0,0,0,0,-6,100,0,-69,0,-1,0,0,0,100,0,-63,-30,1,-13,0,-38,-45,-30,100,0
2022-04-20,-100,100,0,-100,58,-21,86,-8,-53,35,0,44,0,0,0,0,0,-100,0,-70,-12,100,38,12,0,-2,-43,0,0
2022-04-21,0,-2,0,0,-58,-70,-86,0,-65,-100,0,-38,0,0,0,0,0,0,1,-58,37,100,100,-58,100,0,0,0,0
2022-04-22,-80,0,0,100,0,0,0,0,-13,0,0,-6,0,0,0,0,0,100,100,0,-28,-100,87,0,-100,88,1,-20,0
2022-04-25,-100,0,0,0,100,0,100,100,0,0,0,0,0,0,0,0,0,0,-96,0,-28,-32,1,0,0,0,0,2,0
2022-04-26,-100,0,0,1,0,0,1,-1,0,0,98,0,0,100,0,0,0,-34,0,0,-87,100,100,0,0,-88,100,-2,0
2022-04-27,0,100,0,-100,100,-100,-25,0,0,0,-98,1,0,0,0,0,0,80,100,0,-65,-100,100,0,0,0,0,0,0
2022-04-28,100,100,0,-86,-100,61,-29,-100,0,-65,0,-1,0,-100,0,0,0,-14,0,0,0,96,100,0,0,0,100,-100,0
2022-04-29,100,0,0,0,-26,0,-47,-32,0,0,7,0,0,0,0,0,0,0,-100,100,-2,0,0,0,0,0,0,1,0
2022-05-02,64,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,-95,0,0,0,0,0,0,0,0,0
2022-05-03,-1,-62,0,100,-69,0,0,-69,0,0,0,100,0,0,0,0,1,-100,0,-5,-1,82,100,0,0,0,-7,100,0
2022-05-04,-76,-41,0,100,-5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,6,0,0,1,-5,0
2022-05-05,-54,100,0,-49,0,-92,0,-13,0,-18,36,-100,0,0,0,95,1,-23,-5,0,100,-73,0,0,0,0,-50,92,0
2022-05-06,0,100,0,100,0,0,0,-46,0,-40,100,0,0,0,0,-95,-2,-100,76,100,-100,-11,100,-100,0,0,1,0,0
2022-05-09,-100,0,0,-100,0,-40,0,0,0,0,0,100,0,0,0,0,0,-89,-76,0,80,0,100,100,0,0,-100,0,0
2022-05-10,100,0,0,0,0,-19,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
2022-05-11,-100,0,0,0,0,-21,0,0,0,97,0,0,0,0,0,0,0,-36,0,100,-5,-33,0,-34,0,0,6,0,0
2022-05-12,-73,0,0,0,0,0,0,0,0,-97,0,-15,0,0,0,0,0,100,0,-28,-54,0,0,0,73,0,0,-24,0
2022-05-13,-34,100,0,-100,33,0,0,0,0,25,14,-10,4,0,0,0,0,60,14,-89,8,-93,-100,100,-73,0,46,100,0
2022-05-16,-75,0,0,0,-33,0,0,0,0,-25,0,0,-4,0,0,0,0,0,0,0,0,78,0,100,0,0,0,100,0
2022-05-17,-148,-805,0,-509,0,0,0,0,0,0,-150,0,0,0,0,0,0,-169,-14,-83,-341,-376,-1248,-593,0,0,-127,-963,0
2022-05-18,63,0,0,0,10,0,58,0,100,0,0,0,0,88,0,0,0,100,0,0,100,100,100,0,0,0,100,38,0
2022-05-19,-63,0,0,0,-10,0,-58,0,-100,0,0,0,0,-88,0,0,0,-100,0,0,-100,-100,-100,0,0,0,-100,-38,0
2022-05-20,100,100,0,100,55,0,40,0,29,0,0,0,0,0,0,0,0,0,100,20,0,100,0,0,100,100,19,0,0
2022-05-23,87,100,0,100,-9,0,-22,0,100,0,0,0,0,34,0,0,100,9,59,-20,100,-1,44,100,100,-100,100,42,0
2022-05-24,-38,98,0,100,78,0,-18,0,100,100,0,28,0,4,0,0,89,11,-19,73,100,5,-13,100,100,0,100,100,0
2022-05-25,100,20,0,48,100,0,3,0,100,-15,0,56,0,-38,0,0,89,100,-20,-73,-41,84,39,10,-23,0,100,57,0
2022-05-26,100,86,0,95,89,0,-3,16,100,-78,33,-68,0,100,0,0,-71,100,92,0,100,7,100,63,67,100,72,-28,0
2022-05-27,100,73,0,100,46,0,0,-16,41,-7,-33,-16,0,2,0,0,9,27,100,0,16,100,-62,-7,-84,-100,-25,100,0
2022-05-31,100,0,0,100,-100,0,0,0,0,0,0,0,0,100,0,0,-100,0,-54,0,88,100,0,0,0,0,1,0,0
2022-06-01,-100,100,0,-100,-32,100,0,100,0,43,0,0,0,-100,0,0,-100,-100,57,100,-94,-13,19,-46,0,0,44,96,50
2022-06-02,0,0,0,-8,-59,-23,0,-2,-96,-43,0,0,0,-100,0,0,27,100,-84,-89,-11,100,100,100,-1,0,0,0,0
2022-06-03,0,100,59,0,0,-29,0,-42,-45,0,0,100,100,0,0,0,-43,0,-91,100,-100,100,100,-76,-57,0,100,1,-50
2022-06-06,0,100,-22,0,-59,-48,0,0,-100,0,0,0,0,2,0,0,0,100,1,100,35,-100,100,0,-100,0,75,0,100
2022-06-07,-100,24,-37,100,-70,0,0,-56,-100,0,0,-48,-24,-4,0,0,2,100,-30,100,-57,100,-55,-49,-100,0,-8,100,4
2022-06-08,100,-45,0,100,0,0,0,0,57,0,0,-30,-76,0,0,0,-2,84,0,-100,100,-29,100,100,0,92,-20,97,-100
2022-06-09,-62,0,0,0,-11,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,-1,-9,0,1,0,19,0,-50,100,-4
2022-06-10,-2,0,0,0,-16,0,0,0,-86,0,0,0,100,0,0,0,0,-100,49,0,0,100,100,-26,0,0,-100,0,0
2022-06-13,0,100,0,-77,-12,0,2,0,0,0,0,0,49,0,0,0,0,-55,-7,0,-36,0,0,0,0,0,100,0,0
2022-06-14,0,-100,0,-18,0,100,-2,0,2,0,31,42,-50,0,0,0,0,0,-68,41,-59,-59,100,69,-21,47,100,-90,0
2022-06-15,0,0,0,100,0,-100,0,0,-2,0,-31,0,-57,0,0,0,0,100,0,0,0,-14,0,-56,0,43,-41,3,0
2022-06-16,100,0,0,0,0,0,0,0,0,0,0,0,-42,0,0,0,0,0,0,0,42,-60,0,0,0,-61,0,0,0
2022-06-17,0,0,0,0,0,0,0,0,0,0,0,-64,0,0,0,0,0,0,-98,-45,94,0,0,0,0,0,1,100,0
2022-06-21,0,0,0,-62,0,0,0,0,0,0,0,92,0,0,0,0,0,0,-87,0,100,-28,0,0,0,-100,0,0,0
2022-06-22,1,56,0,-32,0,0,1,0,100,0,0,0,0,1,0,0,0,-95,0,0,0,0,0,0,0,-21,100,100,0
2022-06-23,-97,100,0,0,100,0,-1,0,-50,0,100,-27,26,0,0,0,0,-82,0,0,-89,-100,0,0,0,0,100,0,0
2022-06-24,0,0,0,-100,-100,0,0,0,100,0,67,-65,0,-1,0,0,0,0,0,-100,100,-63,0,0,0,1,100,0,0
2022-06-27,-43,15,0,0,0,0,0,0,0,0,-41,0,-26,0,0,0,0,-95,0,0,100,0,100,0,0,0,0,0,0
2022-06-28,-100,1,0,-100,0,0,100,0,-90,100,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,-1,0,100,0
2022-06-29,100,-35,0,0,0,0,-2,2,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0
2022-06-30,100,100,0,0,0,0,-21,-2,0,-30,-26,0,0,0,0,0,0,0,0,-25,-28,27,-100,0,0,0,0,1,0
2022-07-01,100,0,0,0,0,0,-69,0,0,-70,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
